name,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Allagash,2865584,2587562,1901547,1824532,1405910,1033143,726913,514557,395940,294638,197117
Andrews,7657,8261,11153,11734,12930,15464,16444,16519,16239,15066,14284
Andy's Brewpub,1099,1568,600,0,0,0,0,0,0,0,0
Atlantic,103660,104762,111252,100519,101483,83349,82214,66895,71014,75309,69969
Austin Street,15142,1725,735,0,0,0,0,0,0,0,
Banded Horn,49901,30806,16441,1819,0,0,0,0,0,0,0
Barreled Souls,7401,6453,1343,0,0,0,0,0,0,0,
Baxter,509462,575365,416433,276987,188683,120671,0,0,0,0,0
Bar Harbor,0,0,0,0,0,0,0,0,5768,11231,10909
Bear Bones,2453,0,0,0,0,0,0,0,0,0,0
Bear Brewing,22911,24793,26104,13737,15031,19530,16900,9500,6650,8930,7980
Belfast Brewing,2244,0,62,55,60,60,60,60,60,60,31
Bigelow,5212,5118,1746,0,0,0,0,0,0,0,
Bissell Brothers,138555,82737,34499,1082,0,0,0,0,0,0,0
Boothbay Craft,7146,7998,7161,3317,2217,0,0,0,0,0,0
Bray's Brewing,2846,2438,3894,6890,7630,8705,9410,7600,6265,8255,7632
Gritty's Portland,104951,130047,154355,172725,182807,178492,174165,144142,167183,177218,181750
Bull Jagger,0,0,0,1926,5994,1377,0,0,0,0,0
Bunker Brewing,26963,16771,14920,11129,4573,0,0,0,0,0,0
Casco Bay,0,0,0,0,0,0,0,0,0,54634,126998
D.L. Geary,192685,253955,304636,365716,393769,387849,401318,403713,473856,473755,434491
Deep Water,860,845,640,474,500,380,0,0,0,0,0
Dirigo,5495,0,0,0,0,0,0,0,0,0,0
Fire N Brew/Hidden Cove,22672,20671,7414,5850,0,0,0,0,0,0,0
Fore River,15114,474,0,0,0,0,0,0,0,0,0
Foulmouthed,6433,0,0,0,0,0,0,0,0,0,0
Foundation,73310,41400,10607,0,0,0,0,0,0,0,0
Funky Bow,65390,56078,18352,0,0,0,0,0,0,0,0
Freeport,1874,1516,574,1768,1333,0,195,2789,2613,2157,1950
Friar's Brewhouse,930,1140,889,0,0,0,0,0,0,0,0
Geaghan Bros.,153033,81557,22260,14320,10999,1166,0,0,0,0,0
Gneiss,12254,9775,8788,2135,0,0,0,0,0,0,0
Gritty's Freeport,55434,67829,84921,99660,111190,114502,116632,116769,98455,104024,101198
Gritty's Auburn,19420,19310,18294,20261,21329,23290,22275,13713,19084,19911,22251
Growstown,0,0,0,0,0,0,0,0,0,1539,0
Gruit,622,0,0,0,0,0,0,0,0,0,0
Hallowell,15790,17655,18230,18327,16414,18324,17800,17993,17606,17511,16625
Infidel,0,0,0,750,0,0,0,0,0,0,0
Liquid Riot,32372,16765,15758,11862,0,0,0,0,0,0,0
Island Brewing,26399,29184,32605,31665,29610,23864,19992,20730,6786,0,0
Kennebec Brewing,0,0,0,0,0,0,0,0,0,1473,3151
Kennebec River,5986,6721,7234,7148,7381,6714,5134,4606,4389,4141,3939
Kennebunk Brew,40849,47699,44871,54306,55199,44604,36843,31561,32612,36770,33738
Liberty,468,902,154,0,0,0,0,0,0,0,0
Lively,3900,7823,7267,0,0,0,0,0,0,0,0
Lone Pine,11844,0,0,0,0,0,0,0,0,0,0
Lubec,3510,1549,0,0,0,0,0,0,0,0,0
Maine Beer Co.,147298,99912,64253,41391,26426,16140,5202,1066,0,0,0
Maine Coast,0,0,0,0,62,93,372,93,0,0,3210
Marshall Wharf,26105,19133,24336,20629,14981,11740,10263,7029,4108,0,0
Marsh Island,6558,1882,0,0,0,0,0,0,0,0,0
Mason's,30385,0,0,0,0,0,0,0,0,0,0
Mast Landing,7402,0,0,0,0,0,0,0,0,0,0
Monhegan,3634,3553,3728,2244,0,0,0,0,0,0,0
Northern Maine,3276,0,0,0,0,0,0,0,0,0,0
North Haven,180,0,0,0,0,0,0,0,0,0,0
Norway,4675,0,0,0,0,0,0,0,0,0,0
Oak Pond,9614,9377,10595,13580,13987,14403,15574,14356,10217,10445,10703
One Eye Open,103,0,0,0,0,0,0,0,0,0,0
Orono,16953,14848,920,0,0,0,0,0,0,0,0
Oxbow,46358,40386,35842,32766,21936,4053,0,0,0,0,0
Peak Organic,379995,424120,421507,81673,53964,46371,20326,18415,17412,16032,6788
Pennesseewasee,516,437,624,540,29,0,0,0,0,0,0
Penobscot Bay,3404,4406,3871,2977,3645,2288,2212,1559,0,0,0
Rising Tide,132277,110600,77700,40451,15604,4595,959,0,0,0,0
Rock Harbor,5325,5084,4118,1225,0,0,0,0,0,0,0
Rocky Coast,0,186,2140,0,0,0,0,0,0,0,0
Rocky Bay,0,0,0,0,0,0,0,0,0,0,8596
Saco River,2961,0,0,0,0,0,0,0,0,0,0
Sea Dog,69569,59738,58595,62284,44583,34485,23717,3864,1820,0,0
Sebago,327408,256198,219212,209766,202417,174429,145726,103522,95848,103392,86693
Sheepscot,9816,10473,9745,10228,11906,12020,12470,7843,7973,8902,13225
Shipyard,3658571,4428215,4997849,5163160,4989187,4079980,3076949,2596253,2536667,2667060,2228267
Slopes,0,0,0,0,0,0,0,0,0,2164,3182
Simplicity,687,0,0,0,0,0,0,0,0,0,0
SoMe,19577,8924,3754,217,0,0,0,0,0,0,0
Square Tail/Airline,5690,2710,0,0,0,0,0,0,0,0,0
Stone Coast,0,0,0,0,0,0,0,0,22818,41485,54679
Strong,2201,1690,1254,401,0,0,0,0,0,0,0
Sunday River,14489,10805,6882,9773,11281,12024,12946,10702,4270,5799,3758
Theory,110,0,0,0,0,0,0,0,0,0,0
Thresher's,2570,0,0,0,0,0,0,0,0,0,0
Tributary,22186,19854,5787,0,0,0,0,0,0,0,0
2 Feet ,651,0,0,0,0,0,0,0,0,0,0
Village Inn,0,0,0,0,0,0,0,0,0,0,472
